ID,Short citation,Year,Full citation,N. of catchments,Approach,Model,Tracers,Other tracers,Flow type,Main landscape element
1,Ali et al.,2011,"Ali, G.A., L’Heureux, C., Roy, A.G., Turmel, M., Courchesne, F., 2011. Linking spatial patterns of perched groundwater storage and stormflow generation processes in a headwater forested catchment. Hydrological Processes 25, 3843–3857. https://doi.org/10.1002/hyp.8238",1,E,,,,SS,C
2,Ali and Roy,2010,"Ali, G.A., Roy, A.G., 2010. Shopping for hydrologically representative connectivity metrics in a humid temperate forested catchment. Water Resources Research 46, 2010WR009442. https://doi.org/10.1029/2010WR009442",1,M,Topographic models,,,SS,C
3,"Ali et al., a",2010,"Ali, G.A., Roy, A.G., Turmel, M., Courchesne, F., 2010a. Multivariate analysis as a tool to infer hydrologic response types and controlling variables in a humid temperate catchment. Hydrological Processes 24, 2912–2923. https://doi.org/10.1002/hyp.7705",1,M,Statistical model,,,S,C
4,"Ali et al., b",2010,"Ali, G.A., Roy, A.G., Turmel, M.-C., Courchesne, F., 2010b. Source-to-stream connectivity assessment through end-member mixing analysis. Journal of Hydrology 392, 119–135. https://doi.org/10.1016/j.jhydrol.2010.07.049",1,E,,Ions,,SS,C
5,Ali et al.,2014,"Ali, M., Ye, S., Li, H., Huang, M., Leung, L.R., Fiori, A., Sivapalan, M., 2014. Regionalization of subsurface stormflow parameters of hydrologic models: Up-scaling from physically based numerical simulations at hillslope scale. Journal of Hydrology 519, 683–698. https://doi.org/10.1016/j.jhydrol.2014.07.018",2,M,Darcian subsurface flow model,,,SS,H
6,Amatya et al.,1997,"Amatya, D.M., Skaggs, R.W., Gregory, J.D., 1997. Evaluation of a watershed scale forest hydrologic model. Agricultural Water Management 32, 239–258. https://doi.org/10.1016/S0378-3774(96)01274-7",1,M,DRAINWAT,,,S,C
7,Amatya et al.,2022,"Amatya, D.M., Walega, A., Callahan, T.J., Morrison, A., Vulava, V., Hitchcock, D.R., Williams, T.M., Epps, T., 2022. Storm event analysis of four forested catchments on the Atlantic coastal plain using a modified SCS-CN rainfall-runoff model. Journal of Hydrology 608, 127772. https://doi.org/10.1016/j.jhydrol.2022.127772",4,M,SCS-CN (modified),,,S,C
8,Amatya et al.,2024,"Amatya, D.M., Callahan, T.J., Mukherjee, S., Harrison, C.A., Trettin, C.C., Wa??ga, A., M?y?ski, D., Emmett, K.D., 2024. Hydrometeorological Trends in a Low-Gradient Forested Watershed on the Southeastern Atlantic Coastal Plain in the USA. Hydrology 11, 31. https://doi.org/10.3390/hydrology11030031",1,E,,,,S+SS,C
9,Andersson and Lepistö,1998,"Anderson, L., Lepistö, A., 1998. Links between runoff generation, climate and nitrate-N leaching from forested catchments. Water, Air, and Soil Pollution, 105: 227-237. https://link.springer.com/article/10.1023/A:1005093223246",1,E+M,TOPMODEL,Iso,,S,C
10,"Antonelli et al, a",2020,"Antonelli, M., Glaser, B., Teuling, A.J., Klaus, J., Pfister, L., 2020a. Saturated areas through the lens: 1. Spatio-temporal variability of surface saturation documented through thermal infrared imagery. Hydrological Processes, 34: 1310–1332. https://doi.org/10.1002/hyp.13698",1,E,,,,S,C
11,"Antonelli et al, b",2020,"Antonelli, M., Glaser, B., Teuling, A.J., Klaus, J., Pfister, L., 2020b. Saturated areas through the lens: 2. Spatio-temporal variability of streamflow generation and its relationship with surface saturation. Hydrological Processes. 34: 1333–1349. https://doi.org/10.1002/hyp.13607",1,E,,,,S,C
12,Aulenbach et al.,2021,"Aulenbach, B.T., Hooper, R.P., van Meerveld, H.J. (Ilja), Burns, D.A., Freer, J.E., Shanley, J.B., Huntington, T.G., McDonnell, J.J., Peters, N.E., 2021. The evolving perceptual model of streamflow generation at the Panola Mountain Research Watershed. Hydrological Processes 35, e14127. https://doi.org/10.1002/hyp.14127",1,E+M,TOPMODEL; HYDRUS 3D; Hydrogeosphere; CATHY,Iso+Ions,,SS,H
13,Axworthy and Karney,1999,"Axworthy, D.H., Karney, B.W., 1999. Modeling Surface and Subsurface Runoff in a Forested Watershed. Journal of Hydrological Engineering 4, 165–173. https://doi.org/10.1061/(ASCE)1084-0699(1999)4:2(165)",2,M,RK 4 FD,,,S+SS,C
14,Bachmair et al.,2012,"Bachmair, S., Weiler, M., Troch, P.A., 2012. Intercomparing hillslope hydrological dynamics: Spatio?temporal variability and vegetation cover effects. Water Resources Research 48, 2011WR011196. https://doi.org/10.1029/2011WR011196",1,E,,,,SS,H
15,Badoux et al.,2006,"Badoux, A., Witzig, J., Germann, P.F., Kienholz, H., Lüscher, P., Weingartner, R., Hegg, C., 2006. Investigations on the runoff generation at the profile and plot scales, Swiss Emmental. Hydrological Processes 20, 377–394. https://doi.org/10.1002/hyp.6056",2,E,,,,S,H
16,Balazovicova and Skodova,2022,"Balážovi?ová, L., Škodová, M., 2022. Vegetation and land use analysis for runoff estimation in small forested catchment: a case study of Tajovský Brook in Slovakia. Carpathian Journal of Earth Environmental Sciences 17, 81–92. https://doi.org/10.26471/cjees/2022/017/202",1,M,SCS-CN,,,S,C
17,Bartlett et al.,2016,"Bartlett, M.S., Parolari, A.J., McDonnell, J.J., Porporato, A., 2016. Beyond the SCS?CN method: A theoretical framework for spatially lumped rainfall?runoff response. Water Resources Research 52, 4608–4627. https://doi.org/10.1002/2015WR018439",4,M,SCS-CNx,,,S,C
18,Bates et al.,2015,"Bates, N.S., Smith, J.A., Villarini, G., 2015. Flood response for the watersheds of the Fernow Experimental Forest in the central Appalachians. Water Resources Research 51, 4431–4453. https://doi.org/10.1002/2014WR015871",7,E,,,,S,C
19,Bazemore et al.,1994,"Bazemore, D.E., Eshleman, K.N., Hollenbeck, K.J., 1994. The role of soil water in stormflow generation in a forested headwater catchment: synthesis of natural tracer and hydrometric evidence. Journal of Hydrology 162, 47–75. https://doi.org/10.1016/0022-1694(94)90004-3",1,E,,Iso+Ions,,S+SS,H+C
20,"Birch et al., a",2021,"Birch, A.L., Stallard, R.F., Barnard, H.R., 2021a. Precipitation Characteristics and Land Cover Control Wet Season Runoff Source and Rainfall Partitioning in Three Humid Tropical Catchments in Central Panama. Water Resources Research 57, e2020WR028058. https://doi.org/10.1029/2020WR028058",2,E,,Iso+EC,,S,C
21,"Birch et al., b",2021,"Birch, A.L., Stallard, R.F., Bush, S.A., Barnard, H.R., 2021b. The influence of land cover and storm magnitude on hydrologic flowpath activation and runoff generation in steep tropical catchments of central Panama. Journal of Hydrology 596, 126138. https://doi.org/10.1016/j.jhydrol.2021.126138",2,E,,Ions,,S+SS,H+C
22,Biron et al.,1999,"Biron, P.M., Roy, A.G., Courschesne, F., Hendershot, W.H., Côté, B., Fyles, J., 1999. The effects of antecedent moisture conditions on the relationship of hydrology to hydrochemistry in a small forested watershed. Hydrological Processes 13, 1541–1555. https://doi.org/10.1002/(SICI)1099-1085(19990815)13:11<1541::AID-HYP832>3.0.CO;2-J",1,E,,,,S,C
