,,,,,,,,,,Runoff processes,,,,,,,,,,,,,,,,,,,Thresholds,,,,,,,,,,,,,,,,,,Maximum contribution of streamflow components (%),,,,,,,,,Controlling factors on SATURATION excess overland flow generation,,,,,,,,,Controlling factors on INFILTRATION excess overland flow generation,,,,,,,,Controlling factors on subsurface flow generation,,,,,,,,,,Controlling factors on stream runoff magnitude,,,,,,,,,,,,,Controlling factors on subsurface hydrological connectivity,,,,,,,,Model Temp scale,,Factors affecting model performance,,,,,,,,,,,,,,,,,
Catchment name,Size (km2),Climate class,MAP (mm),Country,Continent,Forest type,Longitude,Latitude,References,Ch. Precip,SEOF,IEOF,SubFlow,Slow/deep SubFlow,Return flow/interflow,Vertical flow,Lateral flow,Preferential flow (no specifica vert/lat),Macropore flow (no specifical vert/lat),Vertical preferential flow,Lateral preferential flow,Pipe flow,Matrix flow,(Perched) WT/GW dynamics and changes in GW storage,Filling of subsurface depressions /fill and spill,Subsurface hillslope-stream connectivity,Water movement through bedrock or at the soil/bedrock interface (either SubFlow or GW rise),Dynamics of saturated areas,Thresholds,Soil moisture- streamflow threshold,Soil moisture and rainfall -streamflow threshold,Subsurface connectivity - streamflow threshold,Rainfall-Subsurface connectivity threshold,Soil moisture -groundwater threshold,Rainfall - growundwater threshold,Rainfall - streamflow threshold,Groundwater - streamflow threshold,Soil moisture-subsurface flow threshold,Rainfall -suburface flow threshold,Streamflow-EC trheshold,Rainfall -new water threshold,New water - streamflow threshold,Soil moisture -ET threshold,Catchment area - streamflow threshold,Soil moisture -  overland flow threshold,Rainfall - overland flow threshold,Rainfall,Snow/Snowmelt,Throughfall,Soil  water,Groundwater and springs,Overland flow and surface water,Subsurface water,Event water ,Pre-event water,Storm characteristics (intensity/amount),Groundwater dynamics,Wetness conditions,Soil repellency,Soil impervouness,Soil Organic layer ,Ksat (soil conductivity),Understory vegetation,Geomorphic features (including riparian area) and microtopography and macrotopography,Storm characteristics (intensity/amount),Groundwater dynamics,Wetness conditions,Soil impervouness/repellency (including hydrophobicity and frozen soil),Soil Organic layer ,Ksat (soil conductivity),Understory vegetation,Geomorphic features (including riparian area) and microtopography and macrotopography (linear structures),Preferential flow,Rainfall Amount,Rainfall Intensity,Antecedent conditions,"Hydraulic conductivity, soil horizons, mineral/organic layers, infiltration capacity",Macropore/mesopore shape/extension,Soil depth,"Living/decayed roots, pipes and soil cracks","Topographic properties (slope, TWI, hillslope morphology)","Bedrock leackage, bedrock topography, bedrock fracturation",Precipitation amount*,Precipitation intensity,Precipitation  seasonality,Snowmelt volume,"SWE, snow depth and properties","Antecedent soil moisture, soil moisture deficit and saturation patterns",Antecedent water table depth and storage,"Forest type, interception and tree transpiration","Geological, topographic and geomorphological  setting","Catchment elevation for snowmelt and reduction ET, temp",Catchment size and/or stream (network) size,"Soil properties (including frozen soil, soil depth, ksat and hydrophobicity)",Hydrological connectivity,Rainfall/snowmelt intensity,Hillslope/catchment topography,Saturation of riparian areas / high antecedent conditions,Overland flow,Permafrost patterns,Seasonality,Vegetation patterns,"Soil structure, impeding layers",Event scale/daily scale,Seasonal/annual/multi-annual scale,ET (including stomatal resistance),"LAI, biomass, vegetation height","Soil properties (hydraulic conduct., soil saturation, soil depth)","Temperature, Snowpack/snowmelt dynamics",Antecedent rainfall and rainfall amount,Antecedent water table,Antecedent soil moisture,Soil storage capacity,Topography and geology,Elevation,Flow along soil-bedrock interface,"Catchment size, spatial distribution Q or snowmelt in subcatchments",,,,,,
145,1.82,C,3145,USA,NA,0,-124.3442887,48.23680152,"Devine et al., 2021",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1.91,C,3145,USA,NA,0,-124.2948797,48.22375451,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2.11,C,3145,USA,NA,0,-124.2935906,48.22384057,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,6.69,C,3145,USA,NA,0,-124.3571248,48.21177409,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,4.54,C,3145,USA,NA,0,-124.2747353,48.19751006,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,0.92,C,3145,USA,NA,0,-124.2995687,48.09188252,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,6.54,C,3145,USA,NA,0,-124.4795391,48.00264974,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,1.56,C,3145,USA,NA,0,-124.5870727,47.97756362,"Devine et al., 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
